시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 08:32,2026.06.15(월) 12:00,PUBG: 배틀그라운드|talk,전체,깜하!,3.5,13,10,774,0,
2026.06.14(일) 06:08,2026.06.14(일) 09:54,배틀그라운드 모바일|PUBG: 배틀그라운드|talk,전체,"나, 오늘 합방 한다아~!! 멤버가 누군지 궁금하지?? 누구냐면 ...더보기",3.8,11,7,133,3,
2026.06.13(토) 08:28,2026.06.13(토) 11:54,PUBG: 배틀그라운드|talk,전체,요즘 날씨 왜 이렇게 덥죠? ㅎㄷㄷ.. 다들 식사는 하셨나요? 제 오늘의 첫 끼는 제가 직접 만든 .....더보기,3.4,13,10,245,2,
2026.06.12(금) 08:25,2026.06.12(금) 14:18,스톰 스트라이커|PUBG: 배틀그라운드|talk,전체,"치지직이 축구로 도배됐다했더니,, 이번엔 롤이야? ㅠㅠ",5.9,19,13,591,-1,
2026.06.11(목) 09:10,2026.06.11(목) 16:00,스톰 스트라이커|PUBG: 배틀그라운드|talk|디제이맥스 리스펙트 V,전체,[시참] 배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그......... 더보기,6.8,16,10,653,1,
2026.06.10(수) 13:17,2026.06.10(수) 15:54,talk,전체,야밤에 깜지 야-호,2.6,14,9,220,0,
2026.06.10(수) 05:32,2026.06.10(수) 11:00,PUBG: 배틀그라운드,전체,낮밤 바꾸기 프로젝트 1일차!,5.5,15,11,410,4,
2026.06.09(화) 10:49,2026.06.09(화) 13:54,스톰 스트라이커,전체,오늘은 LRA 즐겜 내전 하는 날 🩷​🎉​,3.1,15,12,53,1,
2026.06.09(화) 06:04,2026.06.09(화) 09:06,배틀그라운드 모바일|PUBG: 배틀그라운드,전체,목소리가 아직 돌아오지 않았지만.. 내가 갈 길이 너무 멀다아 ㅠㅠ,3,14,10,453,0,
2026.06.07(일) 06:37,2026.06.07(일) 10:36,talk|디제이맥스 리스펙트 V,전체,온몸이 두들겨 맞은 거 같다 호소하는 앙X모씨 결국 상태 이상에 걸려버리고.......더보기,4,18,13,656,3,
2026.06.06(토) 10:05,2026.06.06(토) 14:42,스톰 스트라이커,전체,Showdown PARTY 6 공식 중계방 8시 본선 중계 대기중!,4.6,17,11,413,0,
2026.06.06(토) 04:22,2026.06.06(토) 08:06,PUBG: 배틀그라운드,전체,[시참] 실력 방송!(아님) 킬까기 매우 쉽지!(아님),3.7,18,12,217,1,
2026.06.05(금) 11:55,2026.06.05(금) 15:30,스톰 스트라이커,전체,Showdown PARTY 6 공식 중계방 [앙탈깜지 &서누리],3.6,24,18,352,4,
2026.06.05(금) 11:49,2026.06.05(금) 11:54,스톰 스트라이커,전체,Showdown PARTY 6 공식 중계방 [앙탈깜지 &서누리],0.1,3,3,0,0,
2026.06.05(금) 04:00,2026.06.05(금) 08:18,PUBG: 배틀그라운드,전체,배그가 재미있는 깜지 +ㅁ+ 실력은 재밌지 못함;;,4.3,14,10,186,-1,
2026.06.04(목) 04:01,2026.06.04(목) 10:30,PUBG: 배틀그라운드|talk,전체,"난 잠시 눈을 감았다 뜬줄 알았는데,,, 킬이 늘어나 있었고오..",6.5,16,11,247,1,
2026.06.03(수) 05:01,2026.06.03(수) 09:30,PUBG: 배틀그라운드|talk,전체,1시에 온다 해놓고 2시에 온 사람!,4.5,18,14,298,1,
2026.06.02(화) 04:45,2026.06.02(화) 10:18,PUBG: 배틀그라운드|talk,전체,깜지와따! 와 오늘 진짜 덥다아!,5.5,14,10,364,1,
2026.05.29(금) 06:05,2026.05.29(금) 08:18,스톰 스트라이커|talk,전체,안녕인거시예요.,2.2,16,11,325,1,
2026.05.28(목) 04:01,2026.05.28(목) 11:36,오버워치,전체,[시참] 랜덤영웅 플레이 +ㅁ+ 어떤 영웅이 걸릴지 몰름 ㅎㄷㄷ;;,7.6,19,13,404,3,
2026.05.27(수) 05:27,2026.05.27(수) 09:42,PUBG: 배틀그라운드,전체,신에게는 아직 이틀이라는 시간이 남았사옵니다!!! +ㅁ+ 절대 킬까!!!,4.2,16,11,339,0,
2026.05.25(월) 04:02,2026.05.25(월) 08:30,PUBG: 배틀그라운드,전체,"오늘까지 빨간 날인데!, 오늘 쉬는 사람? ꒰╹ε╹꒱",4.5,18,13,136,0,
2026.05.24(일) 05:03,2026.05.24(일) 10:18,PUBG: 배틀그라운드,전체,열심히 놀았으니 또 킬을 까볼까 ꒰╹ε╹꒱,5.2,22,15,305,0,
2026.05.23(토) 10:49,2026.05.23(토) 15:18,스톰 스트라이커,전체,🎉 [이벤트] 깜지를 찾아라! (8시 일반전 ㄱㄱ) ꒰╹ε╹꒱,4.5,16,12,711,1,
2026.05.22(금) 03:56,2026.05.22(금) 10:06,PUBG: 배틀그라운드,전체,[시참] 내일 플엑 갑니다! ꒰╹ε╹꒱,6.2,15,11,632,1,
2026.05.20(수) 10:32,2026.05.20(수) 12:18,PUBG: 배틀그라운드,전체,"[시참] ꒰╹ε╹꒱ 배그, ""0킬 나가"" 시참 진행 중!",1.8,15,10,75,1,
2026.05.20(수) 04:00,2026.05.20(수) 09:54,마인크래프트,전체,[NG서버/코블몬] 7일차! 아직 한발 남았다!! ꒰╹ε╹꒱,5.9,14,11,409,1,
2026.05.19(화) 06:27,2026.05.19(화) 10:36,마인크래프트,전체,[NG서버/코블몬] 히힣 코블몬 재밌다아 ꒰╹ε╹꒱,4.1,13,9,184,1,
