시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:43,LIVE,리그 오브 레전드,전체,LIVE,2.4,25,21,828,3,
2026.06.14(일) 12:30,2026.06.14(일) 17:12,종합 게임|리그 오브 레전드,전체,메차 카멜레온 숨바꼭질 겜,4.7,16,11,287,0,
2026.06.13(토) 12:32,2026.06.13(토) 18:30,리그 오브 레전드,전체,협곡내전,6,28,20,885,1,
2026.06.12(금) 12:37,2026.06.12(금) 18:24,리그 오브 레전드|서든어택,전체,도파민 과다 협곡내전,5.8,28,18,938,2,
2026.06.11(목) 12:17,2026.06.11(목) 18:00,리그 오브 레전드|오버워치,전체,증칼 일단 해본다..,5.7,23,13,903,0,
2026.06.10(수) 13:46,2026.06.10(수) 17:18,리그 오브 레전드|전략적 팀 전투 : 우주의 신들,전체,바뀐 증칼 내전,3.5,19,12,339,0,
2026.06.10(수) 12:24,2026.06.10(수) 13:42,리그 오브 레전드,전체,바뀐 증칼 내전,1.3,19,13,166,0,
2026.06.08(월) 11:59,2026.06.08(월) 18:24,리그 오브 레전드|전략적 팀 전투 : 우주의 신들,전체,증강칼바람,6.4,24,16,1398,6,
2026.06.07(일) 12:13,2026.06.07(일) 18:54,talk,전체,일요일 소통방송,6.7,16,12,2312,0,
2026.06.06(토) 12:38,2026.06.06(토) 18:06,리그 오브 레전드|전략적 팀 전투 : 우주의 신들|talk,전체,협곡내전,5.5,29,19,945,1,
2026.06.05(금) 11:56,2026.06.05(금) 18:54,리그 오브 레전드|서든어택,전체,1부 증칼내전 야호,7,19,14,1693,1,
2026.06.02(화) 12:30,2026.06.02(화) 17:36,리그 오브 레전드|talk,전체,노가리,5.1,21,16,1259,0,
2026.06.01(월) 12:30,2026.06.01(월) 18:12,리그 오브 레전드|전략적 팀 전투 : 우주의 신들|서든어택,전체,즐거운월요일,5.7,21,14,967,1,
2026.05.31(일) 12:13,2026.05.31(일) 18:36,전략적 팀 전투 : 우주의 신들|서브노티카 2|클레르 옵스퀴르: 33 원정대|talk,전체,겜태기 치료사구함,6.4,17,12,1250,0,
2026.05.30(토) 11:22,2026.05.30(토) 18:42,리그 오브 레전드,전체,협곡내전 와이프 vs 매니저,7.3,31,19,1944,2,
2026.05.29(금) 12:33,2026.05.29(금) 18:00,리그 오브 레전드|전략적 팀 전투 : 우주의 신들|서든어택,전체,1부 서든어택 내전,5.4,20,16,1447,2,
2026.05.27(수) 14:08,2026.05.27(수) 17:54,리그 오브 레전드|talk,전체,깜생(깜짝생방송),3.8,19,14,904,2,
2026.05.26(화) 12:42,2026.05.26(화) 19:06,종합 게임|서든어택|talk,전체,비가 추적추적,6.4,14,9,2427,1,
2026.05.25(월) 12:33,2026.05.25(월) 18:36,리그 오브 레전드|전략적 팀 전투 : 우주의 신들,전체,1부 초경량협곡내전,6,20,13,611,0,
2026.05.24(일) 12:41,2026.05.24(일) 18:24,백룸: 이스케이프 투게더|전략적 팀 전투 : 우주의 신들|서든어택|이스케이프 더 백룸,전체,백룸 마무리,5.7,19,13,1316,1,
2026.05.23(토) 12:34,2026.05.23(토) 19:12,리그 오브 레전드|talk,전체,자랑할거 있으신분?,6.6,24,17,2965,1,
2026.05.22(금) 12:27,2026.05.22(금) 18:36,종합 게임|리그 오브 레전드|전략적 팀 전투 : 우주의 신들|서든어택,전체,반갑습니댜,6.1,23,14,917,1,
2026.05.19(화) 02:58,2026.05.19(화) 15:42,종합 게임|리그 오브 레전드|서든어택|talk,전체,12시간방송,12.7,22,14,2188,0,
2026.05.18(월) 12:31,2026.05.18(월) 18:42,리그 오브 레전드|전략적 팀 전투 : 우주의 신들|서든어택,전체,1부 서든어택,6.2,17,13,1288,1,
2026.05.17(일) 12:37,2026.05.17(일) 18:54,백룸: 이스케이프 투게더|서든어택,전체,백룸 처음해보는뇌,6.3,17,13,1585,0,
2026.05.16(토) 12:27,2026.05.16(토) 19:24,리그 오브 레전드,전체,1부 일반칼바람내전 2부 초경량협곡내전,6.9,21,16,2890,0,
2026.05.15(금) 12:30,2026.05.15(금) 18:42,리그 오브 레전드|전략적 팀 전투 : 우주의 신들|서든어택,전체,1부 증칼내전 2부 서든어택,6.2,22,16,1113,0,
2026.05.12(화) 12:26,2026.05.12(화) 19:24,엘소드|서든어택,전체,엘소드인지 뭐시기,7,28,18,2174,6,
2026.05.11(월) 13:14,2026.05.11(월) 18:36,종합 게임|전략적 팀 전투 : 우주의 신들|프래그마타,전체,즐거운월욜,5.4,11,7,273,0,
2026.05.10(일) 12:29,2026.05.10(일) 18:42,종합 게임|리그 오브 레전드|전략적 팀 전투 : 우주의 신들|서든어택,전체,일단 키고 생각,6.2,21,17,2474,-1,
2026.05.09(토) 12:15,2026.05.09(토) 19:06,종합 게임|리그 오브 레전드|전략적 팀 전투 : 우주의 신들|테일즈런너|아이온2,전체,슴슴한 일반 칼바람내전,6.8,24,15,2359,4,
2026.05.08(금) 12:33,2026.05.08(금) 18:30,리그 오브 레전드|서든어택,전체,1부 또든어택,5.9,20,15,2469,3,
2026.05.05(화) 12:32,2026.05.05(화) 18:36,리그 오브 레전드|서든어택,전체,증강칼바람내전 맛있겠다.. 야르,6.1,22,17,1452,1,
2026.05.04(월) 13:54,2026.05.04(월) 17:54,프래그마타,전체,어린이날 특집 프래그마타,4,14,11,239,0,
2026.05.03(일) 12:19,2026.05.03(일) 17:54,전략적 팀 전투 : 우주의 신들|서든어택,전체,1부 5일연짱 서든어택,5.6,18,14,722,1,
2026.05.02(토) 13:07,2026.05.02(토) 19:06,리그 오브 레전드|서든어택,전체,그냥 칼바람 내전,6,20,15,2157,-1,
2026.05.01(금) 12:39,2026.05.01(금) 18:54,전략적 팀 전투 : 우주의 신들|서든어택|스타크래프트 : 리마스터,전체,서든어택 내전,6.2,18,13,1255,2,
2026.04.30(목) 12:29,2026.04.30(목) 19:06,리그 오브 레전드|서든어택|talk,전체,벌써 4월 마지막,6.6,21,14,1913,3,
2026.04.28(화) 12:32,2026.04.28(화) 18:12,리그 오브 레전드|전략적 팀 전투 : 우주의 신들|서든어택,전체,증강칼바람 내전,5.7,21,14,484,1,
2026.04.27(월) 13:13,2026.04.27(월) 18:24,종합 게임|프래그마타|원피스 해적무쌍 4,전체,뭐해볼까,5.2,9,6,618,1,
2026.04.26(일) 12:30,2026.04.26(일) 18:30,리그 오브 레전드|서든어택,전체,일반 칼바람 내전,6,19,14,836,0,
2026.04.25(토) 12:28,2026.04.25(토) 18:24,리그 오브 레전드|서든어택,전체,토요일은 역시 서든어택내전,5.9,18,14,1571,2,
2026.04.23(목) 14:55,2026.04.23(목) 15:30,전략적 팀 전투 : 우주의 신들,전체,1부 롤체,0.6,11,9,118,0,
2026.04.23(목) 12:35,2026.04.23(목) 14:54,코어 키퍼|전략적 팀 전투 : 우주의 신들,전체,1부 코어키퍼,2.3,13,9,235,0,
2026.04.22(수) 12:50,2026.04.22(수) 18:30,종합 게임|talk,전체,깜짝방송,5.7,13,10,1807,0,
2026.04.21(화) 12:41,2026.04.21(화) 18:42,리그 오브 레전드|전략적 팀 전투 : 우주의 신들|서든어택,전체,1부 증강칼바람 내전 슈우우웅웃,6,29,16,1145,-1,
2026.04.20(월) 13:16,2026.04.20(월) 17:48,종합 게임|리그 오브 레전드|서든어택,전체,월요병치유 드가자,4.5,19,14,1070,-1,
2026.04.19(일) 12:30,2026.04.19(일) 18:48,리그 오브 레전드|서든어택|talk,전체,즐거운 주말,6.3,23,17,2016,0,
2026.04.18(토) 12:31,2026.04.18(토) 18:42,종합 게임|전략적 팀 전투 : 우주의 신들|서든어택,전체,날씨가 참 덥네요,6.2,21,15,1289,0,
2026.04.16(목) 13:19,2026.04.16(목) 14:54,종합 게임|서든어택,전체,목 ㅈㄴ 아픈사람,1.6,19,14,537,1,
2026.04.16(목) 13:03,2026.04.16(목) 13:06,종합 게임,전체,목 ㅈㄴ 아픈사람,0,4,4,0,0,
2026.04.14(화) 12:22,2026.04.14(화) 17:06,코어 키퍼|talk,전체,안녕하뗴용,4.7,18,14,1469,0,
2026.04.13(월) 13:05,2026.04.13(월) 19:00,서든어택|마인크래프트|아이온2|talk,전체,1부 주간일정짜기,5.9,16,10,767,0,
2026.04.12(일) 12:28,2026.04.12(일) 19:36,리그 오브 레전드|전략적 팀 전투: 신화와 전설|마인크래프트|talk,전체,1부 소통하면서 1부고르기,7.1,24,12,1997,0,
2026.04.11(토) 12:48,2026.04.11(토) 19:36,서든어택|마인크래프트,전체,1부 서든어택 내전,6.8,17,12,1290,-2,
2026.04.10(금) 12:40,2026.04.10(금) 17:18,코어 키퍼,전체,코어키퍼 함조져볼까요?,4.6,14,10,233,2,
2026.04.09(목) 12:31,2026.04.09(목) 18:54,종합 게임|리그 오브 레전드|아이온2,전체,증강 칼바람 내전 할래말래,6.4,20,12,1609,4,
